State Abbreviation,State Name,Report Date,State Expanded Medicaid,Preliminary_Updated,Final_Report,New Applications Submitted to Medicaid and CHIP Agencies,New Applications Submitted to Medicaid and CHIP Agencies – footnotes,Applications for Financial Assistance Submitted to the State Based Marketplace,Applications for Financial Assistance Submitted to the State Based Marketplace – footnotes,Total Applications for Financial Assistance Submitted at State Level,Total Applications for Financial Assistance Submitted at State Level – footnotes,Individuals Determined Eligible for Medicaid at Application,Individuals Determined Eligible for Medicaid at Application - footnotes,Individuals Determined Eligible for CHIP at Application,Individuals Determined Eligible for CHIP at Application - footnotes,Total Medicaid and CHIP Determinations,Total Medicaid and CHIP Determinations - Footnotes,Medicaid and CHIP Child Enrollment,Medicaid and CHIP Child Enrollment - footnotes,Total Medicaid and CHIP Enrollment,Total Medicaid and CHIP Enrollment - footnotes,Latitude,Longitude,New Georeferenced Column,Total Medicaid Enrollment ,Total Medicaid Enrollment - footnotes,Total CHIP Enrollment,Total CHIP Enrollment - footnotes
MI,Michigan,4/1/2019,Y,U,Y,56872,,N/A,,56872,,52569,Does Not Include All MAGI Determinations Made At Application; Includes Renewals and/or Redeterminations,1838,,54407,,946267,Does Not Include All Full-Benefit Child Medicaid enrollees,2334794,Does Not Include All Full-Benefit Medicaid enrollees,44.6074,-69.3977,"(44.6074, -69.3977)",2272953,Does Not Include All Full-Benefit Medicaid enrollees,61841,
UT,Utah,10/1/2019,N,P,N,14581,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.); Includes Accounts Transferred from FFM",N/A,,14581,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.); Includes Accounts Transferred from FFM",40009,Includes CHIP,,,40009,,184850,,305459,Includes Enrollees in Other Financial Assistance Programs Not Enrolled in Medicaid or CHIP,44.2853,-99.4632,"(44.2853, -99.4632)",264268,Includes Enrollees in Other Financial Assistance Programs Not Enrolled in Medicaid or CHIP,41191,
SD,South Dakota,8/1/2018,N,U,Y,2854,Includes Accounts Transferred from FFM; Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies; Does Not Include All CHIP Applications Submitted to Medicaid and CHIP Agencies; Includes Administrative Data Transfers,N/A,,2854,Includes Accounts Transferred from FFM; Does Not Include All Medicaid Applications; Does Not Include All CHIP Applications; Includes Administrative Data Transfers,1737,"Includes CHIP; Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",,"Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",1737,"Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",79845,,112015,,18.2766,-66.335,"(18.2766, -66.335)",96144,,15871,
NJ,New Jersey,4/1/2018,Y,U,Y,26661,,N/A,,26661,,14860,Does Not Include All Medicaid Determinations Made At Application,5287,Does Not Include All CHIP Determinations Made At Application,20147,Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,854850,,1797425,,41.1289,-98.2883,"(41.1289, -98.2883)",1585243,,212182,
OR,Oregon,2/1/2019,Y,U,Y,12177,Does Not Include All Non-MAGI Applications Submitted to Medicaid and CHIP Agencies,N/A,,12177,Does Not Include All Non-MAGI Applications,23045,"Count is of Households, Not Individuals; Does Not Include All Non-MAGI Determinations Made At Application",2826,,25871,Does Not Include All Non-MAGI Determinations Made At Application,417334,,985423,,40.3736,-82.7755,"(40.3736, -82.7755)",857163,,128260,
KS,Kansas,1/1/2018,N,P,Y,,,N/A,,,,,,,,,,273532,,395922,,39.8647,-86.2604,"(39.8647, -86.2604)",344294,,51628,
HI,Hawaii,1/1/2018,Y,U,Y,4552,,N/A,,4552,,7530,,394,,7924,,145466,,349361,,32.9866,-83.6487,"(32.9866, -83.6487)",324486,,24875,
HI,Hawaii,9/1/2020,Y,P,Y,6302,,N/A,,6302,,4223,,160,,4383,,149771,,367960,,32.9866,-83.6487,"(32.9866, -83.6487)",342569,,25391,
PA,Pennsylvania,9/1/2017,Y,P,N,66098,Includes Renewals and/or Redeterminations,N/A,,66098,Includes Renewals and/or Redeterminations,36758,"Includes Renewals and/or Redeterminations; Count is of Households, Not Individuals",8973,"Count is of Households, Not Individuals",45731,"Includes Renewals and/or Redeterminations; Count is of Households, Not Individuals",1388109,,2941083,,35.5376,-96.9247,"(35.5376, -96.9247)",2764165,,176918,
VA,Virginia,3/1/2018,Y,U,Y,20159,Includes Renewals and/or Redeterminations,N/A,,20159,Includes Renewals and/or Redeterminations,22283,Includes Renewals and/or Redeterminations,999,Includes Renewals and/or Redeterminations,23282,Includes Renewals and/or Redeterminations,690819,,1038200,,35.7449,-86.7489,"(35.7449, -86.7489)",899058,,139142,
IL,Illinois,1/1/2018,Y,P,N,71438,,N/A,,71438,,31820,,9998,,41818,,1423889,,3054889,,44.2394,-114.5103,"(44.2394, -114.5103)",2816124,,238765,
WI,Wisconsin,6/1/2017,N,P,N,23480,Does Not Include All Applications for Limited-Benefit Programs Submitted to Medicaid and CHIP Agencies,N/A,,23480,Does Not Include All Applications for Limited-Benefit Programs,18231,"Count is of Households, Not Individuals",976,,19207,,490939,,1039204,,37.768,-78.2057,"(37.768, -78.2057)",977320,,61884,
CA,California,5/1/2018,Y,U,Y,167635,Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies,,,167635,,158967,Does Not Include All Medicaid Determinations Made At Application,12258,Does Not Include All CHIP Determinations Made At Application,171225,Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,5086121,,12109710,,33.7712,-111.3877,"(33.7712, -111.3877)",10797473,,1312237,
DE,Delaware,7/1/2018,Y,P,N,2900,,N/A,,2900,,5079,,756,,5835,,105633,,231090,,38.8964,-77.0262,"(38.8964, -77.0262)",220003,,11087,
ID,Idaho,3/1/2019,Y,P,N,7714,,,,7714,,6340,,591,,6931,,192718,,269689,,42.0046,-93.214,"(42.0046, -93.214)",243277,,26412,
AZ,Arizona,3/1/2018,Y,U,Y,,,N/A,,,,,,,,,,,,1678077,,14.2417,-170.7197,"(14.2417, -170.7197)",1581222,,96855,
NJ,New Jersey,6/1/2020,Y,P,N,34023,Does Not Include All Non-MAGI Applications Submitted to Medicaid and CHIP Agencies,N/A,,34023,Does Not Include All Non-MAGI Applications,20006,Does Not Include All Non-MAGI Determinations Made At Application; Does Not Include All MAGI Determinations Made At Application; Does Not Include All Medicaid Determinations Made At Application,3546,,23552,Does Not Include All Non-MAGI Determinations Made At Application; Does Not Include All MAGI Determinations Made At Application; Does Not Include All Medicaid Determinations Made At Application,832680,,1759653,,41.1289,-98.2883,"(41.1289, -98.2883)",1520316,,239337,
UT,Utah,3/1/2018,N,U,Y,20682,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.); Includes Accounts Transferred from FFM",N/A,,20682,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.); Includes Accounts Transferred from FFM",55569,Includes CHIP,,,55569,,208186,,301447,Includes Enrollees in Other Financial Assistance Programs Not Enrolled in Medicaid or CHIP,44.2853,-99.4632,"(44.2853, -99.4632)",255586,Includes Enrollees in Other Financial Assistance Programs Not Enrolled in Medicaid or CHIP,45861,
MO,Missouri,9/1/2019,N,U,Y,21447,Includes  Renewals and/or Redeterminations,N/A,,21447,Includes  Renewals and/or Redeterminations,10274,"Includes Renewals and/or Redeterminations; Count is of households, not individuals; Includes CHIP",417,Includes Renewals and/or Redeterminations,10691,"Includes Renewals and/or Redeterminations; Count is of households, not individuals",537809,,857228,,45.7326,-93.9196,"(45.7326, -93.9196)",821824,,35404,Does Not Include All CHIP enrollees
HI,Hawaii,1/1/2020,Y,P,N,4911,,N/A,,4911,,6025,,439,,6464,,138794,,325674,,32.9866,-83.6487,"(32.9866, -83.6487)",300057,,25617,
MN,Minnesota,8/1/2020,Y,P,N,3302,,12875,,16177,,10348,,54,,10402,,554691,,1113911,,43.3504,-84.5603,"(43.3504, -84.5603)",1112491,,1420,
