State,Program Name,Program type,Statewide or region-specific?,Federal operating authority,Program start date ,Waiver expiration date (if applicable),"If the program ended in 2014, indicate the end date",Populations enrolled,Low-income Adults not eligible under ACA Section VIII,"Aged, Blind or Disabled Children or Adults",Non-Disabled Children (excluding children in foster care or receiving adoption assistance),Individuals receiving Limited Benefits,Low-income adults eligible under ACA Section VIII,Full Duals,Partial Duals,Children with Special Health Care Needs,Native American/Alaskan Natives,Foster Care and Adoption Assistance Children,Enrollment choice period,Enrollment broker name (if applicable),Notes on enrollment choice period,Benefits covered,Inpatient hospital physical health,Inpatient hospital behavioral health (MH and/or SUD),Outpatient hospital physical health,Outpatient hospital behavioral health (MH and/or SUD),Partial hospitalization,Physician,Nurse practitioner,Rural health clinics and FQHCs,Clinic services,Lab and x-ray,Prescription drugs and prosthetic devices,EPSDT,Case management,Health home (SSA 1945),Family planning,Dental services (medical/surgical),Dental (preventative or corrective),Home health agency services,Personal care (state plan option),HCBS waiver services,Private duty nursing,ICF-IDD,Nursing facility services,Hospice care,Non-Emergency Medical Transportation,"Other (e.g., nurse midwife services, freestanding birth centers, podiatry, etc.)",Quality assurance and improvement,HEDIS data required?,CAHPS data required?,Accreditation required?,Accrediting organization,EQRO contractor name (if applicable),Performance incentives?,Payment bonuses/differentials to reward plans,Preferential auto-enrollment to reward plans,Public reports comparing MCO performance on key metrics,Withholds tied to performance metrics,MCOs/PHPs required/encouraged to pay providers for value/quality outcomes using shared-risk or shared-savings methods,Provider Value-Based Purchasing,State pays provider-based entities (such as ACOs or PCMHs) directly for value/quality outcomes using shared-risk or shared-savings methods,Participating plans and regions served,Plans in Program,Notes,Program notes,Year,Location
Utah,Prepaid Mental Health,Behavioral Health Organization (BHO) only (PIHP and/or PAHP),Counties and multi-county partnerships,1915(b),07/01/1991,06/30/2017,,,,Mandatory,Mandatory,Mandatory,,Mandatory,Mandatory,,Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,No,,Health Services Advisory Group,,,,,,,,,,Bear River Mental Health; Central Utah Mental Health; Davis Behavioral Health; Four Corners Community Behavioral Health; Northeastern Counseling; Optum Health; Southwest Behavioral Health; Valley Behavioral Health; Wasatch Mental Health; Weber Mental Health,,,2016,"Utah
(39.323779, -111.678222)"
New Jersey,PACE,Program of All-inclusive Care for the Elderly (PACE),"Zip code specific, varies by plan.  See individual plans",PACE,04/09/2009,,,,,Voluntary,,,,Voluntary,Voluntary,,Voluntary,,,Voluntary,Voluntary,,X,X,X,X,X,X,X,,X,X,X,,X,X,X,X,X,,X,X,,,X,X,X,,,No,No,No,,,,,,,,,,,,Inspira LIFE; Beacon of LIFE; LIFE (Living Independently For Elders) St. Francis; LIFE at Lourdes; Lutheran Senior LIFE,,Enrollment is open monthly on the first day of the month.,2016,"New Jersey
(40.110253, -74.655514)"
Alabama,Patient Care Networks of Alabama (PCNA),Primary Care Case Management (PCCM),"4 networks covering 21 of 67 counties including: Limestone, Madison, Morgan, Cullman, Lamar, Fayette, Pickens, Tuscaloosa, Bibb, Hale, Greene, Sumter, Coosa, Tallapoosa, Chambers, Lee, Macon, Russell, Bullock, Washington, and Mobile",1945 Health Homes,07/01/2012,.,.,.,Mandatory,Mandatory,Mandatory,.,.,Voluntary,Voluntary,Voluntary,Voluntary,Exempt,N/A,.,.,.,X,X,X,X,.,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,.,.,X,X,Podiatry for children,.,No,No,No,.,.,.,.,.,X,.,.,.,.,.,Multiple primary care providers,.,"PCNA beneficiaries are also enrolled in the Patient 1st program but receive their enhanced services through  PCNA.  For this reason, PCNA enrollment is only reported here, not under Patient 1st. Note that all dental services are only provided for people under age 21.",2014,"Alabama
(32.756889, -86.844516)"
New York,PACE,Program of All-inclusive Care for the Elderly (PACE),Statewide,PACE,01/01/2001,03/31/2021,,,,,,,,Voluntary,,,,,,Voluntary,,,X,X,X,X,,X,X,X,X,X,X,,X,X,,X,X,,X,X,X,,X,,X,"Podiatry, Physical Therapy, Occupational Therapy",,No,No,No,,Island Peer Review Organization,,,,,,,,,,ArchCare Senior Life; Catholic Health - Life; Centerlight (CCM); Complete Senior Care; Eddy Senior Care; Fallon Health Weinberg; Independent Living for Seniors; PACE CNY; Total Senior Care,,,2016,"New York
(42.921241, -75.59655)"
California,Senior care Action Network (SCAN),Comprehensive MCO + MLTSS,"Los Angeles, Riverside, San Bernardino",1115(a) (Medicaid demonstration waivers),01/01/1996,12/31/2020,.,.,.,Voluntary,.,.,.,Voluntary,.,.,Voluntary,Exempt,Other,.,do not apply,.,X,X,X,X,X,X,X,X,X,X,X,.,X,.,.,X,X,X,X,.,.,.,X,X,X,.,.,No,No,No,.,.,.,.,.,.,.,.,.,.,.,SCAN Health Plan/Los Angeles (plan code 200); SCAN Health Plan/Los Angeles (plan code 201); SCAN Health Plan/Riverside (plan code 204); SCAN Health Plan/Riverside (plan code 205); SCAN Health Plan/San Bernardino (plan code 206); SCAN Health Plan/San Bernardino (plan code 207),.,.,2014,"California
(37.211164, -119.662127)"
Rhode Island,Rhody Health Options,Comprehensive MCO + MLTSS,Statewide,1115(a) (Medicaid demonstration waivers),11/01/2013,12/31/2018,,,,Voluntary,,,,Voluntary,,,Voluntary,,,Voluntary,,,X,X,X,X,X,X,X,X,X,X,X,,X,X,X,X,,,X,X,X,,X,X,,"Podiatry, vision, interpreter",,Yes,Yes,Yes,NCQA,IPRO,,X,,,,,,,,Neighborhood Health Plan,,"This program includes RI's Financial Alignment Demonstration, so demo enrollment is not reported.",2016,"Rhode Island
(41.572574, -71.534637)"
South Carolina,South Carolina Managed Care Organizations,Comprehensive MCO,Statewide,1932(a),09/01/1996,,,,,Mandatory,Mandatory,,,,,,Mandatory,Mandatory,,,,,X,X,X,X,X,X,X,X,X,X,X,X,,X,X,,,,,,,,X,,,"Nurse midwife, birth centers, chiropractic services, therapy services (speech, hearing, language, etc.), vision",,Yes,Yes,Yes,NCQA,The Carolina Center for Medical Excellence,,X,X,X,X,X,,,,Select Health of South Carolina; Molina HealthCare; Absolute Total Care; BlueChoice Healthplan Medicaid; WellCare of South Carolina,,,2016,"South Carolina
(33.878572, -80.864614)"
Vermont,Global Commitment to Health Demonstration,Comprehensive MCO + MLTSS,Statewide,"1115(a) (Medicaid demonstration waivers),1937 Alt Benefit Plan,1945 Health Homes",10/01/2005,12/31/2016,,,Mandatory,Mandatory,Mandatory,Mandatory,,Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,X,X,X,X,X,X,"Nurse midwives, chiropractic, pt/ot/sp, tobacco cessation counseling, optomestrist services, high tech nursing services, optician services, naturopathic physician services, and behavioral health services.",,Yes,No,No,,Health Services Advisory Group,,,,,,,,,,Department of Vermont Health Access,,"Health homes provide coordinated, systemic, whole-person care to VT Medicaid beneficiaries who receive medication assisted therapy (MAT) for opioid dependency.  While the Waiver Authority Expiration date as of 7/1/2016 was 12/31/2016, the program began again on 1/1/2017 with a new expiration date of 12/31/2021.",2016,"Vermont
(44.075252, -72.662695)"
Wisconsin,BadgerCare Plus,Comprehensive MCO,Statewide,1932(a),02/01/2008,,,,Mandatory,,Mandatory,,,,,Mandatory,,Mandatory,,,,,X,X,X,X,X,X,X,X,X,X,,X,X,X,X,X,X,,X,,X,,X,X,,Nurse midwife services; podiatry and chiropractic varies by region; dental varies by program region,,Yes,No,No,,"MetaStar, Inc.",,X,,X,X,,,,,Anthem Blue Cross Blue Shield; Children’s Community Health Plan; Compcare; Dean Health Plan; Group Health Cooperative Of Eau Claire; Group Health Cooperative Of South Central WI; Gundersen Health Plan; Health Tradition Health Plan; Independent Care (iCare); MHS of Wisconsin; MercyCare Insurance Company; Molina Health Plan; Network Health Plan; Physicians Plus Health Plan; Security Health Plan; Trilogy Health Insurance; UnitedHealthcare Community Plan; Unity Health Plan,,,2016,"Wisconsin
(44.639954, -89.732969)"
Colorado,Denver Health Medicaid Choice,Comprehensive MCO,"Denver, Arapahoe, Adams and Jefferson Counties",1915(a),01/01/1997,,,,Voluntary,Voluntary,Voluntary,,,Voluntary,,Voluntary,Voluntary,Voluntary,,Voluntary,,,X,,X,,,X,X,X,X,X,X,X,,X,X,,,,X,,,,,,,Durable medical equipment,,Yes,Yes,No,,"Health Services Advisory Group, Inc.",,,,,,,,,,Denver Health Medicaid Choice,,"Denver Health & Hospital Authority (DHHA) is a staff-model MCO, which was reported as ""Managed Care Program"" in MMCDCS 2015.  In addition to DHHA's main medical campus (e.g., hospital, pharmacy, clinic), it operates eight community health centers and 15 school-based clinics in underserved neighborhoods throughout the Denver metropolitan area.",2016,"Colorado
(38.998552, -105.547832)"
Arizona,Non-Emergency Transportation,Non-Emergency Medical Transportation,Statewide,"1915(b),1902(a)(70) NEMT",10/01/2015,12/31/2017,,,Mandatory,Mandatory,Mandatory,,,Mandatory,,Mandatory,Mandatory,Mandatory,,Mandatory,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,No,No,No,,,,,,,,,,,,Net Transportation,,,2016,"Arizona
(34.293239, -111.664616)"
Delaware,Diamond State Health Plan,Comprehensive MCO + MLTSS,Statewide,1115(a) (Medicaid demonstration waivers),01/01/1996,12/31/2018,,,Mandatory,Mandatory,Mandatory,Mandatory,,Mandatory,,Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,X,X,X,,X,X,,"Freestanding birth centers, home-delivered meals, emergency response system, home modificiations",,Yes,Yes,Yes,NCQA,Mercer Government Human Services Consulting,,X,,X,,X,,,,UnitedHealthcare Community Plan; Highmark Health Options,,,2016,"Delaware
(38.994926, -75.452394)"
Arizona,PACE,Program of All-inclusive Care for the Elderly (PACE),Statewide,PACE,04/01/2016,,,,,Voluntary,,,,Voluntary,Voluntary,,Voluntary,,,Voluntary,Voluntary,,,,X,,,X,X,,X,X,X,,X,,,X,,,X,,,,,,,Capitated Comprehesive Medical and Social services in adult health day centers and in-home and referral services acording to participant needs,,No,No,Yes,Health Management Plan ( CMS ),,,,,,,,,,,PACE,,,2016,"Arizona
(34.293239, -111.664616)"
Florida,Managed Medical Assistance Program,Comprehensive MCO,Statewide,1115(a) (Medicaid demonstration waivers),08/01/2014,06/30/2017,,,,Mandatory,Mandatory,,,Mandatory,,,Mandatory,Mandatory,,Mandatory,,,X,X,X,X,X,X,X,X,X,X,X,X,,X,X,X,X,,X,,X,,,X,X,"Midwife, Birth Center, Podiatry, and Targeted Case Management. In addition, the Agency also negotiated expanded benefits above the Medicaid state plan service package.  These expanded benefits vary by plan and include expanded adult dental services, expanded outpatient hospital visits, physician home visits, and many other expanded benefits.",,Yes,Yes,Yes,"NCQA, AAAHC, Nationally recognized accrediting organizations",Health Services Advisory Group,,X,,X,,X,,,,"Amerigroup Florida, Inc.; Better Health, Inc.; Coventry Healthcare of FL, Inc.; Humana Medical Plan; Molina Healthcare of Florida, Inc.; Prestige Health Choice; South Florida Community Care Network; Simply Healthcare Plans, Inc.; Wellcare Health Plan of Florida DBA Staywell; Sunshine State Health Plan, Inc.; United Healthcare of Florida, Inc.; AIDS Healthcare Foundation DBA Positive Healthcare, Inc.; Freedom Health, Inc.; Magellan Complete Care, LLC; Simply Healthcare Plans DBA Clear Health Alliance; Sunshine State Health Plan, Inc.; Children's Medical Services Network",,"Pregnant women who meet all other criteria for Medicaid eligibility are mandatorily enrolled into the MMA program. Presumptively eligible pregnant women are excluded. Full Dual recipients are mandatorily enrolled in the MMA program if they receive fee-for-service Medicare or are enrolled in a Medicare Advantage plan that is NOT fully liable. Full Duals enrolled in a fully liable Medicare Advantage plan or in a Medicare Advantage Special Needs plan are excluded. The MMA program includes MMA specialty plans for recipients in the child welfare system, recipients under the age of 21 with chronic conditions, recipients with HIV or AIDS, recipients with a serious mental illness, and adults with chronic conditions who have both Medicare and full Medicaid (also called “full duals”). The MMA specialty plans cover the same health care services as the standard MMA plans. An extension request has been submitted to Federal CMS to extend the MMA waiver authority from July 1, 2017 - June 30, 2022.",2016,"Florida
(28.260731, -82.420978)"
Alabama,Maternity,Other Prepaid Health Plan (PHP) (limited benefits),Statewide,1915(b),09/01/1988,8/31/2015,.,.,Mandatory,Mandatory,Mandatory,Mandatory,.,.,.,Mandatory,Voluntary,Mandatory,Pre-assigned,.,.,.,.,.,.,.,.,X,X,X,X,X,.,.,X,.,X,.,.,.,.,.,.,.,.,.,.,"nurse midwives, freestanding birth centers",.,No,No,No,.,.,.,.,.,.,.,.,.,.,.,Maternity Program,.,The maternity program is a PAHP program providing maternity-related care.,2014,"Alabama
(32.756889, -86.844516)"
West Virginia,WV Mountain Health Trust,Comprehensive MCO,Statewide,1915(b),09/01/1996,07/01/2017,,,Mandatory,Mandatory,Mandatory,,,,,Mandatory,Mandatory,Mandatory,,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,X,,,X,,,,Yes,Yes,Yes,NCQA,Delmarva,,,,,X,,,,,CoventryCares of WV; The Health Plan; UniCare; WV Family Health,,"WV received an extension through 7/1/17 for its current waiver, and is currently in the process of having its newest waiver submission reviewed. For 2016 reporting, WV added its Medicaid Expansion members to Managed Care during this time, thus the reason for the increase in managed care enrollment.",2016,"West Virginia
(38.642579, -80.613729)"
Nebraska,Program of All-Inclusive Care for the Elderly (PACE),Program of All-inclusive Care for the Elderly (PACE),"68037, 68048, 68025, 68007, 68010, 68022, 68064, 68102, 68104, 68105, 68106, 68107, 68127, 68110, 68111, 68112, 68114, 68116, 68117, 68118, 68122, 68124, 68127, 68130, 68131, 68132, 68134, 68135, 68137, 68142, 68144, 68152, 68154, 68157, 68164, 68182, 68005, 68028, 68046, 68059, 68069, 68113, 68123, 68128, 68133, 68136, 68138, 68147, 68073, 68002, 68008, 68009, 68023, 68029, 68034, 68044, 68068",PACE,05/01/2013,,,,,Voluntary,,,,,,,Voluntary,,,,,,X,X,X,X,X,X,X,X,X,X,X,,X,X,X,X,X,,X,X,X,X,X,X,X,,,No,No,No,,,,,,,,,,,,Immanuel Pathways,,,2016,"Nebraska
(41.527099, -99.810595)"
North Carolina,Community Care of North Carolina,Primary Care Case Management Entity (PCCM Entity),Statewide,1932(a),04/01/1991,,,,,Voluntary,Mandatory,,,Voluntary,,,Voluntary,Mandatory,,Voluntary,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,Yes,Yes,No,,,,,,,,,,,,North Carolina Community Care Carolina Access,,Plan consists of independently contracted medical home/primary care providers who receive a per member per month (PMPM) management fee for coordination of care at the medical home provider office.,2016,"North Carolina
(35.52603, -79.130883)"
South Dakota,PRIME,Primary Care Case Management (PCCM),Statewide,1932(a),10/02/2002,,,,,Mandatory,Mandatory,Mandatory,,,,,Mandatory,Mandatory,Mandatory,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,X,,Podiatry,,No,No,No,,,,,,,,,,,,Multiple Primary Care Providers,,Recipients under the age of 19 who are blind or disabled are not required to be part of the PRIME program.,2016,"South Dakota
(44.43614, -100.230491)"
Wisconsin,Program of All - Inclusive Care for the Elderly (PACE),Program of All-inclusive Care for the Elderly (PACE),"Counties: Milwaukee, Waukesha",PACE,11/01/1990,,,,,Voluntary,,,,Voluntary,,,Voluntary,,,Voluntary,,,X,X,X,X,X,X,X,X,X,X,X,,X,X,X,X,X,,X,X,X,X,X,X,X,Ambulatory surgical center; audiology; chiropractic; community mental health services; durable medical equipment and medical supplies; occupational therapy; physical therapy; podiatry; respiratory care for ventilator dependent persons; speech & language pathology; vision care,,No,No,No,,"MetaStar, Inc.",,,,,,,,,,"Community Care, Inc.",,,2016,"Wisconsin
(44.639954, -89.732969)"
Alabama,PACE,Program of All-inclusive Care for the Elderly (PACE),Mobile and Baldwin County,PACE,01/01/2012,12/31/2299,,,,Voluntary,,,,Voluntary,Voluntary,,Voluntary,,,Voluntary,Voluntary,,X,X,X,X,X,X,X,,X,X,X,,X,X,,X,,,X,,X,,X,X,X,Any service deemed medically necessary by the interdiscplinary team (IDT Team),,No,No,No,,,,,,,,,,,,Mercy Life of Alabama,,,2016,"Alabama
(32.756889, -86.844516)"
Colorado,Accountable Care Collaborative,Primary Care Case Management Entity (PCCM Entity),Statewide,1932(a),05/11/2011,,,,Voluntary,Voluntary,Voluntary,Voluntary,,Voluntary,,Voluntary,Voluntary,Voluntary,Voluntary,Voluntary,,,X,,X,,,X,X,X,X,X,X,X,,X,X,X,X,,X,X,X,X,X,X,X,"Note that the RCCOS do not pay for any services; providers continue to bill FFS for all physical health care benefits.  The RCCOs are responsible for coordinating services.  Additionally, durable medical equipment is covered.",,Yes,Yes,No,,"EQRO - HealthServices Advisory Group, Inc.",,X,,X,X,,,,,RCCO 1: Rocky Mountain Health Plans; RCCO 2: Colorado Access; RCCO 3: Colorado Access; RCCO 4: Integrated Community Health Partnership; RCCO 5: Colorado Access; RCCO 6: Colorado Community Health Alliance; RCCO 7: Community Health Partnerships,,"Medical services are paid on a fee-for-service basis where two administrative per-member-per-month fee payments are made: 1) the first payment is to the ACO to be accountable for improved health and recuded cost; and 2) the second payment is to the PCMP for providing a medical home level of care. The program has seven ACOs, called Regional Care Collaborative Organizations (RCCOs). RCCOs contract with providers to serve as medical homes for clients and also provide support services that include care coordination, case management, data analytics, practice transformation assistance and community resource referrals.",2016,"Colorado
(38.998552, -105.547832)"
Massachusetts,Primary Care Clinician Plan,Primary Care Case Management (PCCM),Statewide,1115(a) (Medicaid demonstration waivers),01/01/1995,06/30/2022,,,Mandatory,Mandatory,Mandatory,,,,,Mandatory,Mandatory,Mandatory,,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,X,X,,X,X,X,"Podiatrist services, nurse midwife, hearing aid, speech and hearing, renal dialysis, therapy services, ambulatory surgery",,No,No,No,Voluntary participation in EQRO performance measure validation,KEPRO,,,,,,,,,,Multiple Primary Care Providers,,,2016,"Massachusetts
(42.151077, -71.481104)"
Rhode Island,PACE,Program of All-inclusive Care for the Elderly (PACE),Statewide,"1115(a) (Medicaid demonstration waivers),PACE",01/01/2006,12/31/2018,,,,Voluntary,,,,Voluntary,Voluntary,,Voluntary,,,Voluntary,Voluntary,,X,X,X,X,X,X,X,X,X,X,X,,X,X,X,X,X,,X,X,,,X,X,X,,,No,No,No,RI EOHHS and CMS Team,,,,,,,,,,,PACE,,"PACE is subsumed under the Rhode Island section  1115 demonstration program and will remain an option for qualifying demonstration eligibles, that is, those that meet the High and Highest level of care determinations.",2016,"Rhode Island
(41.572574, -71.534637)"
Georgia,Georgia Families,Comprehensive MCO,Statewide,1932(a),06/01/2006,06/30/2017,,,,,Mandatory,Voluntary,,,,,,Mandatory,Voluntary,,,,X,X,X,X,,X,X,X,X,X,X,X,X,,X,X,X,,,,,X,X,,,,,Yes,Yes,Yes,"NCQA, JCAHO, URAC",Health Services Advisory Group (HSAG),,,X,,,,,,,Amerigroup Community Care; Peach State Health Plan; WellCare of Georgia,,,2016,"Georgia
(32.638481, -83.426574)"
California,Dental Managed Care/Los Angeles,Dental only (PAHP),Los Angeles,1115(a) (Medicaid demonstration waivers),04/01/1998,12/31/2020,,,Voluntary,Voluntary,Voluntary,,,Voluntary,,Voluntary,Voluntary,Voluntary,,Voluntary,,,,,,,,,,X,,,,X,X,,,X,X,,,,,,,,X,,,Yes,Yes,No,,,,X,,X,X,,,,,Health Net Dental/Los Angeles; Access Dental Plan/Los Angeles; Liberty Dental Plan/Los Angeles,,,2016,"California
(37.211164, -119.662127)"
